time,open,high,low,close
2021-10-15,150.0059694,175.5192069,143.5888881,163.1072471
2021-10-16,163.215301,166.7694115,153.3548015,157.5292449
2021-10-17,157.5422032,170.3205079,151.7703904,160.1128531
2021-10-18,160.1069841,163.9135527,149.6519066,157.2004955
2021-10-19,157.1568978,164.6592674,146.1770756,155.8027426
2021-10-20,155.8185456,179.5817206,153.8631394,176.8164708
2021-10-21,176.7728723,204.7523084,160.2424808,190.5119193
2021-10-22,190.5460191,222.3757929,180.7049191,196.2218996
2021-10-23,196.3132314,206.501407,188.7053404,197.8378647
2021-10-24,197.7947262,206.5758492,184.3841108,202.3068762
2021-10-25,202.25,220.07,194.7,209.77
2021-10-26,209.8215043,215.4661386,195.8469777,199.8311795
2021-10-27,199.8773282,207.7820237,177.2359651,184.6309288
2021-10-28,184.6885008,209.3752848,179.0940863,195.4960355
2021-10-29,195.5248732,209.8862209,191.9786972,200.5023084
2021-10-30,200.4559996,201.2288856,185.8503857,195.8255508
2021-10-31,195.7962202,208.632183,184.5279724,202.6028943
2021-11-01,202.7671579,213.74145,194.7116613,204.0508824
2021-11-02,204.0669947,226.3185997,194.9301717,221.0454355
2021-11-03,221.0176501,248.9346409,206.7493648,243.4721423
2021-11-04,243.5761797,257.7786882,229.4426306,247.2228945
2021-11-05,247.2788929,254.6012439,229.3303634,236.3460861
2021-11-06,236.2802941,261.1028497,231.5567151,258.6745882
2021-11-07,258.748351,266.3512903,240.0692602,249.7878616
2021-11-08,249.7890452,267.5208397,230.2759578,248.4253796
2021-11-09,248.3856061,257.6303697,234.604889,239.148511
2021-11-10,239.0547386,252.7525578,215.5583664,233.3549529
2021-11-11,233.3233318,249.0012401,229.078648,233.4761317
2021-11-12,233.4823002,239.942981,219.0048784,228.6103826
2021-11-13,228.5895806,244.8043908,224.0213624,241.6935581
2021-11-14,241.6623412,245.8757191,229.9927759,238.592747
2021-11-15,238.5927561,250.1295839,229.1504201,238.1963159
2021-11-16,238.1792243,239.1430505,213.4213358,219.2782048
2021-11-17,219.2993102,224.0598355,206.3709442,218.9066979
2021-11-18,218.9655072,224.2504071,186.1860072,195.1750673
2021-11-19,195.2169974,220.5872241,187.3955209,215.2740042
2021-11-20,215.9364357,225.2336571,205.9942461,217.7793174
2021-11-21,217.7491886,238.3033292,209.8862378,231.1851457
2021-11-22,230.8776209,234.4280115,209.1986262,215.8511084
2021-11-23,215.8857961,226.9678872,206.9003531,221.8707272
2021-11-24,221.9310261,225.062995,197.2685148,205.8720691
2021-11-25,205.7673317,217.3673587,200.5186408,209.9518474
2021-11-26,210.1215647,217.8518254,180.6146852,193.0315974
2021-11-27,192.5435941,201.2918152,188.5624034,192.9143793
2021-11-28,192.9325988,204.7829578,181.4823778,200.9163176
2021-11-29,200.86,216.33,197.91,204.36
2021-11-30,204.35,222.13,197.7,208.87
2021-12-01,208.63,239.12,206.33,229.85
2021-12-02,229.84,245.67,218.5,233.78
2021-12-03,233.83,241.01,203.55,212.02
2021-12-04,211.86,231.8,159.46,201.02
2021-12-05,201.5,205.13,181.67,196.49
2021-12-06,196.35,203.83,175.58,193.99
2021-12-07,193.92,206.99,186.56,190.43
2021-12-08,190.3,197.46,180.8,194.84
2021-12-09,194.9,196.9,177.85,181.56
2021-12-10,181.23,190.4,166.88,167.8
2021-12-11,168.64,176.2,161.91,172.03
2021-12-12,172.19,177.9,166.27,172.99
2021-12-13,172.7,174.43,147.2,155.22
2021-12-14,155.53,166.2,149.2,161.46
2021-12-15,161.43,182.89,154.37,178.6
2021-12-16,178.67,191.82,170.77,176.94
2021-12-17,177.15,184.47,165.87,175.85
2021-12-18,175.46,186.1,170.67,183.03
2021-12-19,182.98,191.77,178.01,180.08
2021-12-20,179.63,183.48,167.9,173.94
2021-12-21,173.96,184.07,169.26,179.9
2021-12-22,179.81,189.07,176.22,178.41
2021-12-23,178.03,194.94,175.47,190.09
2021-12-24,189.99,200,184.43,190.48
2021-12-25,190.57,196.52,187.86,193.08
2021-12-26,193.18,204.63,188.82,197.9
2021-12-27,198.01,206.33,194.57,195.7
2021-12-28,195.31,201.38,175.26,177.33
2021-12-29,177.34,180.9,168.15,170.77
2021-12-30,170.31,178.06,166.53,172.48
2021-12-31,172.56,179.8,164.46,169.97
2022-01-01,170.09,180.97,169.08,179.21
2022-01-02,179.03,181.03,172.81,176.48
2022-01-03,176.3,177.61,166.47,170.02
2022-01-04,169.92,175.46,164.05,167.73
2022-01-05,167.97,172.5,145.13,154.52
2022-01-06,154.63,156.08,145.69,150.32
2022-01-07,150.1,150.67,132.86,136.4
2022-01-08,136.61,148.76,132.53,142.19
2022-01-09,142.13,148.78,137.38,140.85
2022-01-10,140.91,144.23,127.79,136
2022-01-11,135.89,144.52,132.45,140.22
2022-01-12,140.4,155.44,138.18,151.6
2022-01-13,151.55,159.73,144.4,146.13
2022-01-14,146.18,150.8,144.62,145.88
2022-01-15,146.28,149.41,144.07,147.71
2022-01-16,147.7,152.03,146.21,148.08
2022-01-17,148.17,148.37,137.23,139.92
2022-01-18,140.05,142.81,134.75,141.29
2022-01-19,141.48,142.72,132.92,135.26
2022-01-20,135.47,143.67,126.44,127.59
2022-01-21,127.61,128.73,106.05,112.35
2022-01-22,112.46,113.9,87.86,94.6
2022-01-23,94.62,104.79,93.29,99.85
2022-01-24,99.85,100,81.03,92.08
2022-01-25,91.86,100.02,87.57,94.75
2022-01-26,94.71,104.39,89.44,92.19
2022-01-27,92.16,94.74,85.69,89.69
2022-01-28,89.65,93.54,87.19,91.46
2022-01-29,91.44,98.89,90.46,96.17
2022-01-30,96.2,97.66,91.55,93.4
2022-01-31,93.36,101.46,89.27,99.59
2022-02-01,99.63,113.65,99.16,110.08
2022-02-02,110.06,112.38,97.16,101.86
2022-02-03,101.87,103.08,94.18,101.82
2022-02-04,101.61,112.87,100.44,112.65
2022-02-05,112.64,118.66,110.31,113.83
2022-02-06,113.82,116.12,111.85,115.37
2022-02-07,115.39,121.99,112.86,117.63
2022-02-08,117.74,120.32,109.88,113.56
2022-02-09,113.62,117.33,109.55,113.97
2022-02-10,113.87,117.61,106.28,106.58
2022-02-11,106.62,108.4,96.38,97.59
2022-02-12,97.61,100.54,94.22,97.12
2022-02-13,97.12,97.37,91.5,92.84
2022-02-14,92.94,97.95,90.84,96.43
2022-02-15,96.41,105.89,96.41,105.6
2022-02-16,105.4,105.44,98.24,101.92
2022-02-17,101.91,102.83,92.45,93.6
2022-02-18,93.61,96.41,89.4,89.95
2022-02-19,89.91,92.75,88.66,91.33
2022-02-20,91.32,93.89,85.73,90.69
2022-02-21,90.78,96.19,82.85,83.04
2022-02-22,83.13,87.62,81.06,86.46
2022-02-23,86.49,93.45,84.41,84.58
2022-02-24,84.54,94.1,75.34,89.4
2022-02-25,89.52,95.07,86.94,92.8
2022-02-26,92.78,95.06,89.43,90.28
2022-02-27,90.29,92.28,84.16,85.64
2022-02-28,85.64,102.51,84.31,99.75
2022-03-01,99.78,101.99,94.1,98.64
2022-03-02,98.62,106.47,96.79,100.76
2022-03-03,100.65,101.76,93.88,95.68
2022-03-04,95.59,95.91,87.16,88.38
2022-03-05,88.42,91.27,86.14,89.61
2022-03-06,89.58,89.95,84.2,84.58
2022-03-07,84.63,86.64,79.92,81.7
2022-03-08,81.72,85.02,81.35,82.34
2022-03-09,82.32,89.9,81.97,88.11
